Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,Yes,1,Graduate,Yes,62153,32101,432706,120,1,Semiurban,Y
Female,No,0,Not Graduate,Yes,69110,2775,907549,120,1,Rural,Y
Male,Yes,0,Graduate,No,28979,45961,609070,240,1,Semiurban,Y
Male,No,1,Graduate,No,43328,31647,128533,120,1,Urban,Y
Female,Yes,3+,Not Graduate,No,27867,45619,290011,300,1,Semiurban,Y
Female,Yes,3+,Graduate,No,74234,45838,239327,240,1,Rural,Y
Female,No,3+,Not Graduate,No,40851,19539,555168,360,1,Urban,Y
Female,No,3+,Graduate,Yes,46279,36738,122684,240,1,Rural,Y
Male,Yes,1,Not Graduate,Yes,88402,26616,500134,300,1,Rural,Y
Female,Yes,3+,Graduate,Yes,30449,14119,831453,360,1,Semiurban,Y
Female,No,2,Not Graduate,Yes,91221,25159,789644,240,1,Rural,Y
Male,Yes,3+,Not Graduate,No,20451,37099,915990,120,0,Urban,N
Female,No,0,Not Graduate,Yes,56316,10295,266621,180,1,Rural,Y
Male,No,3+,Not Graduate,Yes,78064,34710,285295,180,1,Rural,Y
Female,No,1,Graduate,No,78761,24685,917854,120,1,Semiurban,Y
Female,No,0,Not Graduate,Yes,53870,49343,825723,180,1,Rural,Y
Female,Yes,1,Graduate,Yes,45873,25479,831712,180,1,Semiurban,Y
Male,No,1,Graduate,No,73627,46172,992760,120,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,81155,33629,997509,120,0,Urban,N
Female,No,1,Not Graduate,Yes,40372,42043,843070,240,1,Urban,Y
Male,Yes,1,Graduate,Yes,18642,17033,873851,240,1,Urban,Y
Male,No,3+,Graduate,Yes,43001,36902,607665,120,1,Urban,Y
Male,Yes,2,Graduate,Yes,49064,44571,680532,300,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,29122,15408,748476,180,1,Rural,Y
Male,No,1,Not Graduate,No,39820,17420,787651,240,1,Urban,Y
Male,No,1,Graduate,No,83431,16351,597670,180,0,Urban,Y
Female,No,3+,Not Graduate,No,70745,4131,820663,360,1,Urban,Y
Female,No,2,Not Graduate,No,65081,44825,761423,120,0,Rural,N
Male,Yes,0,Graduate,No,85902,11349,203466,300,1,Urban,Y
Female,No,3+,Graduate,Yes,23711,44254,904221,360,1,Rural,Y
Female,Yes,3+,Not Graduate,No,33793,38225,284318,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,23199,38847,422778,360,1,Semiurban,Y
Female,No,2,Not Graduate,Yes,91253,12453,181936,120,1,Semiurban,Y
Male,Yes,3+,Not Graduate,Yes,51191,18814,936004,240,1,Rural,Y
Female,Yes,0,Not Graduate,No,25211,18263,981170,120,0,Urban,N
Female,Yes,3+,Not Graduate,Yes,78069,12158,697952,240,1,Urban,Y
Male,Yes,2,Not Graduate,No,71746,15735,726315,360,0,Urban,N
Male,No,0,Not Graduate,Yes,36542,15830,422818,360,1,Urban,Y
Female,No,2,Graduate,No,46312,47893,153533,300,1,Urban,Y
Female,No,0,Graduate,Yes,60242,44673,918277,240,1,Rural,Y
Female,No,1,Not Graduate,Yes,70388,23926,297997,360,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,42691,45066,119590,180,1,Urban,Y
Female,Yes,2,Not Graduate,No,92960,34779,439919,300,1,Semiurban,Y
Female,No,3+,Graduate,No,99388,3373,378615,120,1,Rural,Y
Male,No,2,Not Graduate,No,37601,10335,553692,300,1,Rural,Y
Female,No,2,Graduate,No,33020,23741,531530,180,1,Urban,Y
Female,Yes,1,Not Graduate,Yes,23155,10692,565795,240,1,Rural,Y
Male,No,2,Not Graduate,No,84119,47295,355442,120,1,Semiurban,Y
Male,No,1,Graduate,No,96051,45541,506324,120,1,Urban,Y
Male,No,1,Graduate,Yes,51777,34057,294936,240,1,Urban,Y
Male,Yes,1,Not Graduate,Yes,34710,1447,623212,300,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,39532,19583,459925,360,0,Urban,N
Female,Yes,0,Not Graduate,Yes,33601,22765,59726,300,1,Urban,Y
Female,Yes,3+,Graduate,Yes,78227,23906,241896,180,1,Semiurban,Y
Female,Yes,0,Graduate,No,19967,19567,90542,360,0,Urban,N
Female,Yes,2,Graduate,Yes,99289,14139,463461,300,1,Urban,Y
Female,Yes,0,Graduate,Yes,35022,46525,84753,240,1,Semiurban,Y
Male,Yes,0,Graduate,No,58463,38230,916220,180,1,Rural,Y
Female,No,2,Graduate,No,89671,19520,333460,180,1,Semiurban,Y
Male,No,2,Not Graduate,Yes,20722,19702,283979,180,1,Urban,Y
Male,Yes,2,Not Graduate,Yes,42413,25566,658986,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,96050,7657,328104,120,1,Urban,Y
Male,No,0,Not Graduate,Yes,98596,37688,80791,360,1,Urban,Y
Female,Yes,2,Not Graduate,Yes,81732,30134,337360,300,1,Semiurban,Y
Male,Yes,3+,Graduate,Yes,27297,10345,999971,120,1,Urban,Y
Female,Yes,3+,Not Graduate,No,83323,41185,376571,300,1,Rural,Y
Male,No,1,Graduate,Yes,38816,49928,948902,120,1,Urban,Y
Female,No,2,Graduate,Yes,55695,27413,647578,360,1,Semiurban,Y
Female,No,1,Not Graduate,No,34702,5208,621302,180,1,Rural,Y
Female,No,3+,Graduate,Yes,40242,33455,185150,240,0,Rural,Y
Female,No,1,Graduate,Yes,70841,49681,100519,180,1,Urban,Y
Female,Yes,2,Graduate,No,82712,28018,840474,360,1,Semiurban,Y
Male,No,2,Graduate,No,68574,45991,623340,120,1,Urban,Y
Male,Yes,2,Graduate,No,43482,8080,64389,180,1,Urban,Y
Male,Yes,0,Graduate,No,24171,21902,408105,360,1,Semiurban,Y
Female,No,1,Graduate,Yes,18696,9486,642399,300,0,Semiurban,N
Male,No,3+,Graduate,Yes,35058,38862,941490,240,1,Urban,Y
Female,Yes,3+,Not Graduate,No,35313,21158,930147,180,1,Rural,Y
Female,Yes,3+,Not Graduate,No,34149,40460,887165,120,1,Urban,Y
Male,Yes,0,Not Graduate,Yes,68521,43856,871186,300,1,Rural,Y
Male,No,0,Graduate,No,60740,35871,986128,360,1,Urban,Y
Female,No,2,Graduate,Yes,19956,35208,922318,240,0,Semiurban,N
Male,No,3+,Not Graduate,No,90731,20519,207753,120,1,Rural,Y
Female,No,0,Not Graduate,Yes,97612,31379,663812,360,1,Semiurban,Y
Female,No,2,Not Graduate,No,81641,28378,393150,360,0,Semiurban,N
Female,Yes,3+,Graduate,No,78811,39892,861136,180,1,Semiurban,Y
Female,No,1,Not Graduate,Yes,67160,49996,547488,180,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,66313,14031,144913,120,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,78232,14536,668396,360,0,Urban,N
Male,Yes,0,Not Graduate,Yes,30417,446,829091,180,0,Rural,N
Female,No,2,Graduate,Yes,39729,36683,319637,240,0,Urban,Y
Female,No,2,Graduate,Yes,45099,48555,119639,240,1,Urban,Y
Male,No,0,Graduate,Yes,44961,17618,281452,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,27602,6587,366527,180,1,Semiurban,Y
Female,Yes,3+,Not Graduate,No,24256,31480,708354,120,0,Urban,N
Male,Yes,1,Graduate,Yes,49681,32994,774640,120,1,Rural,Y
Female,Yes,2,Not Graduate,No,79789,20527,359378,120,1,Urban,Y
Male,Yes,1,Not Graduate,Yes,58361,23569,702962,240,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,79503,11151,536084,180,0,Rural,N
Male,No,2,Not Graduate,No,49540,5558,579882,180,1,Rural,Y
Female,No,3+,Graduate,No,41536,44739,811195,240,1,Rural,Y
Male,No,0,Not Graduate,No,99700,32954,319515,120,1,Rural,Y
Male,No,0,Graduate,Yes,78043,47448,621603,120,0,Urban,N
Female,Yes,3+,Graduate,Yes,93532,47327,788924,360,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,71575,43837,701539,300,1,Rural,Y
Female,No,1,Graduate,No,17871,35303,282520,180,1,Rural,Y
Male,Yes,2,Not Graduate,Yes,61002,34700,653814,180,1,Semiurban,Y
Female,No,3+,Not Graduate,No,64812,27500,293459,180,1,Urban,Y
Male,No,3+,Graduate,Yes,37626,2032,721986,300,1,Rural,Y
Female,No,2,Graduate,Yes,74979,1252,922437,360,1,Urban,Y
Male,Yes,3+,Graduate,Yes,91057,5509,287330,300,1,Urban,Y
Female,No,3+,Graduate,No,81668,37842,155573,120,0,Urban,Y
Male,No,1,Not Graduate,Yes,95070,13900,974634,120,1,Urban,Y
Female,No,0,Not Graduate,No,57998,14523,187900,180,0,Rural,N
Female,Yes,0,Not Graduate,Yes,78814,1881,369658,240,1,Rural,Y
Female,Yes,0,Graduate,No,60607,33037,550364,180,1,Urban,Y
Male,No,0,Graduate,No,22812,1630,555740,240,1,Urban,Y
Female,Yes,3+,Graduate,No,76844,20789,285707,300,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,85093,22523,758024,120,1,Semiurban,Y
Female,Yes,2,Graduate,Yes,17179,17958,554917,240,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,58798,46151,723243,300,1,Rural,Y
Female,Yes,1,Graduate,No,89601,48920,748419,120,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,23275,43852,527294,240,0,Rural,N
Male,Yes,2,Not Graduate,Yes,65574,1695,748292,180,1,Rural,Y
Female,Yes,2,Graduate,Yes,62857,14821,573116,180,1,Rural,Y
Male,Yes,0,Graduate,Yes,35700,3262,504485,180,1,Rural,Y
Male,Yes,3+,Not Graduate,Yes,54464,1445,563066,300,1,Semiurban,Y
Female,No,3+,Not Graduate,No,57351,16436,912418,180,1,Urban,Y
Male,No,0,Graduate,No,97534,9949,922391,360,1,Urban,Y
Male,Yes,3+,Graduate,Yes,28869,23963,314179,120,1,Urban,Y
Male,No,3+,Not Graduate,Yes,75315,29932,159767,300,0,Semiurban,N
Female,No,1,Graduate,No,35954,6901,483961,180,1,Urban,Y
Male,Yes,2,Not Graduate,Yes,46555,33487,591529,120,1,Semiurban,Y
Female,Yes,3+,Not Graduate,Yes,78353,8597,627263,240,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,97190,6855,204226,180,1,Semiurban,Y
Male,No,2,Graduate,Yes,60026,18678,993129,120,1,Urban,Y
Male,No,0,Graduate,Yes,61976,8263,541818,360,0,Urban,Y
Female,Yes,1,Graduate,Yes,95578,47288,106396,240,1,Urban,Y
Male,Yes,1,Graduate,No,60095,25805,542443,360,1,Rural,Y
Male,Yes,2,Not Graduate,Yes,29270,26143,168920,120,1,Semiurban,Y
Female,No,0,Not Graduate,Yes,45908,11874,456547,360,0,Rural,N
Male,No,1,Graduate,No,30523,27529,244999,120,1,Semiurban,Y
Female,No,3+,Graduate,No,77433,20866,660514,120,0,Urban,N
Female,No,3+,Graduate,No,62068,14079,659007,360,1,Semiurban,Y
Male,Yes,3+,Not Graduate,Yes,34991,49850,113014,120,1,Semiurban,Y
Female,Yes,0,Graduate,No,25775,7243,613634,180,1,Rural,Y
Male,Yes,1,Graduate,Yes,92801,29872,644699,120,0,Semiurban,N
Female,Yes,3+,Not Graduate,Yes,99995,9018,235550,300,1,Urban,Y
Female,No,0,Not Graduate,Yes,76250,49500,717614,120,1,Semiurban,Y
Male,No,3+,Graduate,No,31673,12100,236806,300,1,Semiurban,Y
Female,Yes,2,Graduate,No,42056,49459,471837,120,1,Semiurban,Y
Female,Yes,1,Graduate,No,21614,19800,388585,120,0,Rural,N
Female,No,1,Not Graduate,No,22415,26910,96121,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,58884,29437,786778,180,1,Semiurban,Y
Female,No,0,Graduate,Yes,31964,37588,372341,180,1,Rural,Y
Male,Yes,1,Graduate,Yes,52726,11001,134577,240,1,Rural,Y
Female,Yes,3+,Not Graduate,Yes,52044,46675,406778,360,1,Rural,Y
Male,Yes,3+,Not Graduate,Yes,72149,19942,299106,360,1,Rural,Y
Female,Yes,2,Graduate,No,52544,20862,485647,180,0,Urban,Y
Male,Yes,3+,Graduate,No,64976,11669,542461,360,1,Urban,Y
Male,Yes,0,Not Graduate,Yes,47252,15916,936643,180,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,18832,10878,710197,360,1,Urban,Y
Female,No,3+,Not Graduate,No,95437,2985,555200,120,1,Semiurban,Y
Female,No,0,Not Graduate,Yes,49148,32369,533241,180,1,Urban,Y
Male,No,1,Not Graduate,Yes,76240,8112,526379,180,0,Rural,N
Female,No,1,Not Graduate,No,92116,41235,522295,300,0,Rural,N
Male,No,3+,Not Graduate,No,68459,18931,455831,360,0,Urban,N
Male,Yes,1,Not Graduate,Yes,53402,27340,575754,360,0,Urban,N
Male,Yes,1,Not Graduate,Yes,72727,336,867203,180,1,Semiurban,Y
Female,No,2,Graduate,Yes,53578,42933,396030,120,1,Semiurban,Y
Female,Yes,2,Graduate,No,37318,19363,378055,120,1,Semiurban,Y
Male,No,1,Graduate,Yes,90715,45536,803926,120,1,Rural,Y
Male,No,3+,Not Graduate,Yes,92787,3968,463962,360,1,Rural,Y
Female,Yes,2,Graduate,No,35466,33678,138422,300,1,Rural,Y
Male,Yes,0,Not Graduate,No,60475,48400,553100,180,0,Rural,N
Female,Yes,0,Not Graduate,No,75142,16279,385513,240,1,Semiurban,Y
Male,No,0,Graduate,No,41564,3129,838325,300,1,Rural,Y
Female,Yes,3+,Not Graduate,No,37412,38215,342717,240,1,Rural,Y
Male,No,1,Graduate,Yes,66001,38897,671195,300,1,Rural,Y
Female,No,0,Graduate,Yes,72649,5850,782722,120,1,Rural,Y
Male,No,3+,Graduate,No,75957,20588,936388,360,0,Urban,N
Female,Yes,2,Not Graduate,No,50517,40214,792820,240,1,Semiurban,Y
Female,Yes,1,Graduate,No,28156,11949,832381,300,1,Semiurban,Y
Male,No,2,Not Graduate,No,38064,8519,955012,360,0,Rural,N
Male,Yes,3+,Graduate,No,40711,26375,476583,240,1,Urban,Y
Female,Yes,0,Graduate,Yes,45106,33082,202271,180,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,80458,11737,403548,300,1,Semiurban,Y
Female,No,3+,Not Graduate,Yes,31589,1134,779688,180,1,Rural,Y
Male,No,0,Not Graduate,Yes,22214,10938,894156,120,1,Rural,Y
Female,Yes,1,Not Graduate,No,42127,24486,922565,180,1,Semiurban,Y
Female,No,3+,Graduate,Yes,20141,48356,217477,180,1,Semiurban,Y
Female,Yes,2,Graduate,No,43884,26096,279304,300,1,Urban,Y
Female,Yes,3+,Not Graduate,No,17708,41115,590277,120,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,33375,5592,865363,180,1,Semiurban,Y
Female,Yes,1,Not Graduate,Yes,30088,18108,845722,360,1,Rural,Y
Male,No,3+,Not Graduate,No,72615,17270,695424,240,0,Semiurban,N
Male,No,3+,Not Graduate,Yes,60046,27649,392022,180,1,Rural,Y
Male,No,0,Not Graduate,Yes,25014,10997,402621,120,1,Semiurban,Y
Female,Yes,1,Graduate,No,79425,33489,522697,180,1,Semiurban,Y
Female,Yes,3+,Not Graduate,No,18273,9104,781658,240,1,Semiurban,Y
Female,Yes,3+,Graduate,No,62135,870,700587,120,1,Urban,Y
Female,No,1,Graduate,Yes,45881,28684,735493,300,1,Rural,Y
Male,Yes,3+,Not Graduate,No,93077,39519,817976,120,1,Urban,Y
Male,No,0,Not Graduate,Yes,23712,49649,679974,300,1,Semiurban,Y
Female,No,1,Graduate,No,89704,34524,994556,120,1,Urban,Y
Male,No,0,Not Graduate,No,67874,30957,419430,240,1,Rural,Y
Male,No,0,Not Graduate,Yes,84087,33885,528705,240,1,Semiurban,Y
Female,No,0,Graduate,Yes,27297,44369,352619,120,1,Urban,Y
Male,No,0,Graduate,Yes,42128,35596,656954,180,0,Urban,N
Female,Yes,1,Graduate,Yes,83368,29866,408766,240,1,Rural,Y
Male,Yes,0,Not Graduate,Yes,93958,30676,763016,300,1,Urban,Y
Female,No,0,Graduate,Yes,47920,47764,709993,300,1,Rural,Y
Female,No,3+,Not Graduate,No,26156,13878,460520,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,26108,39760,157573,300,1,Semiurban,Y
Female,No,1,Graduate,Yes,46845,27559,803180,360,1,Urban,Y
Male,No,2,Graduate,No,17800,46546,882978,120,1,Semiurban,Y
Female,Yes,1,Not Graduate,Yes,57712,6771,319152,120,1,Semiurban,Y
Female,No,1,Not Graduate,No,17610,16526,360435,120,0,Urban,N
Female,No,2,Graduate,No,92603,29896,208477,180,1,Semiurban,Y
Male,No,1,Graduate,Yes,48872,31923,298141,180,1,Urban,Y
Female,Yes,1,Graduate,Yes,25728,36203,348530,360,1,Rural,Y
Male,Yes,1,Not Graduate,Yes,35583,39390,665197,300,1,Rural,Y
Female,Yes,1,Graduate,No,22263,12852,201899,300,1,Rural,Y
Male,No,2,Not Graduate,Yes,82450,47574,869472,120,1,Urban,Y
Male,No,1,Graduate,No,34456,43391,634642,240,1,Urban,Y
Female,Yes,1,Graduate,Yes,80942,1848,390687,180,0,Semiurban,Y
Male,No,2,Graduate,No,28689,31027,592445,180,1,Semiurban,Y
Female,No,3+,Graduate,No,47934,35464,609603,120,1,Semiurban,Y
Female,No,0,Graduate,Yes,48276,34485,348076,180,1,Semiurban,Y
Female,No,3+,Graduate,No,34873,19456,464380,120,0,Semiurban,Y
Male,No,2,Not Graduate,No,28050,9259,719774,360,1,Urban,Y
Male,Yes,0,Graduate,Yes,81216,35554,832957,300,0,Urban,N
Female,No,2,Not Graduate,No,99444,46922,981831,240,1,Rural,Y
Female,Yes,2,Graduate,Yes,99040,13409,950312,300,0,Rural,N
Male,No,1,Graduate,Yes,36644,3791,182018,300,1,Rural,Y
Female,Yes,0,Not Graduate,Yes,77021,25864,851125,360,1,Rural,Y
Female,No,1,Graduate,Yes,52125,36639,339385,180,1,Urban,Y
Female,Yes,0,Not Graduate,No,81899,34574,951626,240,1,Urban,Y
Male,No,2,Not Graduate,No,57291,17888,145790,180,0,Urban,N
Male,Yes,2,Graduate,No,50060,19692,983044,300,1,Semiurban,Y
Male,No,3+,Not Graduate,Yes,16538,23501,646543,120,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,51176,13304,770117,300,1,Rural,Y
Female,No,1,Graduate,No,56520,27527,222275,180,0,Semiurban,Y
Female,Yes,3+,Not Graduate,Yes,40675,18074,992585,300,1,Urban,Y
Male,Yes,3+,Graduate,Yes,33287,15549,767221,120,1,Rural,Y
Female,No,3+,Graduate,No,15174,29963,311439,360,1,Rural,Y
Female,No,1,Graduate,Yes,49998,25920,61350,180,0,Semiurban,Y
Female,Yes,3+,Graduate,Yes,68312,30826,760872,300,1,Rural,Y
Female,No,1,Not Graduate,Yes,27112,36071,368953,180,1,Semiurban,Y
Male,Yes,3+,Graduate,Yes,90225,16061,151894,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,59814,28810,409701,300,1,Rural,Y
Female,Yes,2,Not Graduate,Yes,65719,47966,486048,300,1,Semiurban,Y
Male,No,2,Graduate,Yes,48919,22800,995873,180,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,88155,43423,606016,180,1,Semiurban,Y
Female,Yes,2,Not Graduate,Yes,86569,41692,329720,120,1,Semiurban,Y
Female,No,2,Not Graduate,Yes,56328,9940,472217,360,1,Rural,Y
Male,No,3+,Not Graduate,Yes,85482,3924,570841,120,0,Urban,N
Female,No,3+,Not Graduate,Yes,39618,28054,133384,300,1,Urban,Y
Male,No,3+,Not Graduate,Yes,49675,9783,50390,180,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,33919,37253,530751,300,1,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,19173,45397,881868,300,1,Semiurban,Y
Female,Yes,1,Graduate,No,41400,13233,585857,240,0,Urban,Y
Male,Yes,1,Not Graduate,Yes,65445,45669,456245,240,1,Semiurban,Y
Male,No,2,Not Graduate,Yes,85305,24484,72490,300,1,Rural,Y
Male,Yes,2,Not Graduate,Yes,52564,25068,882307,180,1,Rural,Y
Female,Yes,2,Graduate,Yes,60814,191,544080,300,1,Rural,Y
Male,No,0,Graduate,No,94747,25074,842299,240,0,Urban,N
Male,Yes,3+,Not Graduate,Yes,42962,4917,655108,180,1,Semiurban,Y
Female,Yes,1,Not Graduate,Yes,99892,38599,411659,300,0,Semiurban,N
Female,Yes,1,Not Graduate,No,85533,25832,321265,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,71184,42928,51539,360,1,Urban,Y
Male,Yes,1,Graduate,Yes,97912,20706,460243,300,1,Urban,Y
Female,Yes,1,Not Graduate,No,25578,13682,439546,180,1,Urban,Y
Female,No,3+,Graduate,No,33624,26762,910661,300,1,Urban,Y
Female,No,2,Not Graduate,No,54194,23383,976425,300,1,Rural,Y
Female,Yes,3+,Graduate,Yes,15389,27796,362579,240,1,Urban,Y
Female,Yes,0,Graduate,Yes,82391,23666,565584,360,1,Urban,Y
Male,No,0,Not Graduate,Yes,28794,25662,977814,240,1,Urban,Y
Female,Yes,0,Not Graduate,No,73002,45159,113965,240,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,50531,34642,565249,300,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,67815,41830,423192,240,0,Semiurban,N
Male,No,2,Graduate,Yes,19986,37531,932876,360,1,Rural,Y
Female,Yes,2,Graduate,Yes,47298,10234,382066,240,0,Rural,Y
Male,No,1,Graduate,No,16481,9221,147799,360,1,Urban,Y
Male,Yes,3+,Not Graduate,Yes,71408,11410,143948,240,0,Semiurban,N
Female,No,0,Graduate,No,84267,14519,526055,360,1,Rural,Y
Male,No,3+,Not Graduate,No,31835,1051,193314,240,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,42798,44993,298099,240,1,Rural,Y
Female,No,2,Not Graduate,No,79887,9765,845379,180,1,Rural,Y
Male,Yes,0,Not Graduate,Yes,34477,11382,817610,360,1,Urban,Y
Male,No,2,Graduate,Yes,32266,12580,776826,360,1,Urban,Y
Male,Yes,3+,Not Graduate,No,58526,32323,809066,360,1,Rural,Y
Female,Yes,2,Not Graduate,Yes,26889,44757,305821,120,0,Urban,N
Female,No,3+,Graduate,No,39335,11939,767176,240,1,Rural,Y
Female,Yes,1,Not Graduate,Yes,26254,29964,360929,360,1,Rural,Y
Male,Yes,1,Not Graduate,Yes,26442,307,956395,120,1,Semiurban,Y
Male,No,1,Not Graduate,Yes,61289,3359,836939,180,0,Urban,N
Female,Yes,2,Graduate,Yes,68747,29648,510188,360,1,Urban,Y
Male,Yes,1,Graduate,Yes,52327,35944,732511,360,1,Urban,Y
Male,No,0,Not Graduate,No,31199,34019,61618,120,1,Semiurban,Y
Female,No,3+,Graduate,No,87827,38134,386430,240,1,Semiurban,Y
Female,Yes,3+,Not Graduate,No,15112,27323,328266,180,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,34581,6226,712714,360,1,Urban,Y
Male,No,2,Not Graduate,No,74722,21689,946030,240,1,Urban,Y
Male,No,2,Not Graduate,No,31523,30971,998483,180,1,Urban,Y
Female,Yes,3+,Not Graduate,Yes,81960,25954,660724,300,1,Semiurban,Y
Female,No,1,Graduate,Yes,34552,24423,260448,300,0,Semiurban,Y
Female,Yes,2,Not Graduate,No,25808,30391,545919,180,0,Rural,N
Female,Yes,2,Graduate,No,87525,14330,186109,120,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,38620,4891,78633,180,1,Rural,Y
Female,Yes,0,Not Graduate,Yes,15887,4992,860927,180,1,Urban,Y
Female,Yes,1,Not Graduate,Yes,46802,1961,900982,120,0,Semiurban,N
Female,No,2,Graduate,No,96938,12497,262456,120,0,Urban,Y
Female,No,2,Graduate,No,41049,32551,348627,240,1,Urban,Y
Female,No,0,Graduate,No,92789,10848,425325,240,0,Urban,Y
Male,No,2,Not Graduate,Yes,99526,13255,516589,120,1,Urban,Y
Male,Yes,3+,Graduate,Yes,22846,4567,346213,300,0,Semiurban,N
Female,Yes,0,Not Graduate,No,61220,48847,188442,300,0,Urban,N
Male,Yes,1,Not Graduate,No,61163,39281,694161,180,1,Rural,Y
Female,Yes,0,Not Graduate,Yes,18765,48003,953275,360,1,Semiurban,Y
Female,No,2,Graduate,Yes,96486,20389,121947,180,1,Urban,Y
Male,Yes,1,Not Graduate,Yes,60270,44523,220205,180,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,90277,43919,801395,360,1,Rural,Y
Female,No,3+,Not Graduate,No,37931,16567,145761,120,1,Urban,Y
Female,No,3+,Not Graduate,Yes,70633,3358,425897,300,1,Rural,Y
Female,No,0,Not Graduate,Yes,95702,22999,968196,180,1,Urban,Y
Male,No,3+,Graduate,Yes,66913,42358,603214,360,0,Rural,N
Female,Yes,3+,Not Graduate,No,40991,10988,936214,240,1,Urban,Y
Female,Yes,3+,Not Graduate,No,69845,40446,154700,180,1,Semiurban,Y
Female,No,1,Graduate,Yes,70312,31521,386128,300,1,Urban,Y
Male,Yes,3+,Not Graduate,Yes,25561,5698,486606,120,1,Semiurban,Y
Female,Yes,3+,Graduate,Yes,31901,1273,623881,180,1,Urban,Y
Female,Yes,3+,Not Graduate,No,77875,27543,912041,180,1,Urban,Y
Male,No,1,Graduate,No,40917,31349,55209,360,1,Rural,Y
Female,Yes,0,Graduate,No,77120,11241,700988,240,1,Rural,Y
Female,No,2,Not Graduate,Yes,16988,9497,449749,240,1,Rural,Y
Male,Yes,3+,Not Graduate,No,29256,41875,660885,120,1,Urban,Y
Female,Yes,0,Not Graduate,Yes,43230,32703,319355,300,1,Urban,Y
Male,Yes,3+,Graduate,Yes,74778,44041,59927,120,1,Urban,Y
Male,No,1,Graduate,Yes,60833,31954,782823,180,0,Semiurban,N
Female,Yes,0,Graduate,No,37625,8002,691621,180,0,Semiurban,N
Female,No,1,Not Graduate,Yes,47088,4247,205666,240,1,Urban,Y
Female,No,3+,Graduate,No,94650,41988,780212,300,1,Rural,Y
Female,No,3+,Graduate,No,56167,21698,258785,360,1,Rural,Y
Male,Yes,1,Not Graduate,Yes,86291,19738,388526,300,1,Rural,Y
Female,Yes,2,Graduate,Yes,80303,10703,189005,180,1,Urban,Y
Male,Yes,1,Graduate,No,91361,48240,678068,360,1,Rural,Y
Female,Yes,3+,Not Graduate,Yes,19117,49422,614984,300,1,Urban,Y
Female,No,1,Graduate,No,75710,17570,246521,300,0,Semiurban,Y
Female,No,2,Not Graduate,Yes,82054,12392,379760,360,1,Rural,Y
Male,No,1,Not Graduate,No,45949,44724,973593,180,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,37547,32299,499764,300,1,Rural,Y
Female,No,2,Not Graduate,No,96882,15641,207195,360,1,Urban,Y
Female,Yes,1,Not Graduate,No,83136,13998,451013,180,1,Urban,Y
Female,No,1,Graduate,Yes,79619,6305,100013,360,1,Urban,Y
Male,Yes,0,Graduate,Yes,76842,32726,451562,360,1,Urban,Y
Female,Yes,3+,Not Graduate,No,41990,18782,266486,300,1,Rural,Y
Male,No,2,Not Graduate,No,31193,12721,476888,180,0,Semiurban,N
Male,No,0,Graduate,Yes,45109,39763,460869,300,1,Urban,Y
Male,No,1,Not Graduate,Yes,34233,12427,885988,120,1,Rural,Y
Male,No,3+,Not Graduate,Yes,96730,46550,960155,120,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,49510,20566,813638,180,1,Urban,Y
Male,No,2,Graduate,Yes,16306,2230,600428,360,0,Semiurban,N
Female,No,0,Graduate,Yes,18849,6511,313328,300,0,Urban,N
Male,No,2,Not Graduate,No,27360,49280,477709,300,1,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,60800,42229,730206,180,1,Semiurban,Y
